"","country","ISO","item","model"
"60","Armenia","ARM","Rubber","fabio"
"61","Armenia","ARM","Fodder crops","fabio"
"62","Armenia","ARM","Grazing","fabio"
"63","Armenia","ARM","Cottonseed","fabio"
"64","Armenia","ARM","Palm kernels","fabio"
"65","Armenia","ARM","Sugar non-centrifugal","fabio"
"66","Armenia","ARM","Molasses","fabio"
"67","Armenia","ARM","Sugar, Refined Equiv","fabio"
"68","Armenia","ARM","Sweeteners, Other","fabio"
"69","Armenia","ARM","Soyabean Oil","fabio"
"70","Armenia","ARM","Groundnut Oil","fabio"
"71","Armenia","ARM","Sunflowerseed Oil","fabio"
"72","Armenia","ARM","Rape and Mustard Oil","fabio"
"73","Armenia","ARM","Cottonseed Oil","fabio"
"74","Armenia","ARM","Palmkernel Oil","fabio"
"75","Armenia","ARM","Palm Oil","fabio"
"76","Armenia","ARM","Coconut Oil","fabio"
"77","Armenia","ARM","Sesameseed Oil","fabio"
"78","Armenia","ARM","Olive Oil","fabio"
"79","Armenia","ARM","Ricebran Oil","fabio"
"80","Armenia","ARM","Maize Germ Oil","fabio"
"81","Armenia","ARM","Oilcrops Oil, Other","fabio"
"82","Armenia","ARM","Soyabean Cake","fabio"
"83","Armenia","ARM","Groundnut Cake","fabio"
"84","Armenia","ARM","Sunflowerseed Cake","fabio"
"85","Armenia","ARM","Rape and Mustard Cake","fabio"
"86","Armenia","ARM","Cottonseed Cake","fabio"
"87","Armenia","ARM","Palmkernel Cake","fabio"
"88","Armenia","ARM","Copra Cake","fabio"
"89","Armenia","ARM","Sesameseed Cake","fabio"
"90","Armenia","ARM","Oilseed Cakes, Other","fabio"
"91","Armenia","ARM","Wine","fabio"
"92","Armenia","ARM","Beer","fabio"
"93","Armenia","ARM","Beverages, Fermented","fabio"
"94","Armenia","ARM","Beverages, Alcoholic","fabio"
"95","Armenia","ARM","Alcohol, Non-Food","fabio"
"96","Armenia","ARM","Cotton lint","fabio"
"97","Armenia","ARM","Cattle","fabio"
"98","Armenia","ARM","Buffaloes","fabio"
"99","Armenia","ARM","Sheep","fabio"
"100","Armenia","ARM","Goats","fabio"
"101","Armenia","ARM","Pigs","fabio"
"102","Armenia","ARM","Poultry Birds","fabio"
"103","Armenia","ARM","Horses","fabio"
"104","Armenia","ARM","Asses","fabio"
"105","Armenia","ARM","Mules","fabio"
"106","Armenia","ARM","Camels","fabio"
"107","Armenia","ARM","Camelids, other","fabio"
"108","Armenia","ARM","Rabbits and hares","fabio"
"109","Armenia","ARM","Rodents, other","fabio"
"110","Armenia","ARM","Live animals, other","fabio"
"111","Armenia","ARM","Milk - Excluding Butter","fabio"
"112","Armenia","ARM","Butter, Ghee","fabio"
"113","Armenia","ARM","Eggs","fabio"
"114","Armenia","ARM","Wool (Clean Eq.)","fabio"
"115","Armenia","ARM","Bovine Meat","fabio"
"116","Armenia","ARM","Mutton & Goat Meat","fabio"
"117","Armenia","ARM","Pigmeat","fabio"
"118","Armenia","ARM","Poultry Meat","fabio"
"119","Armenia","ARM","Meat, Other","fabio"
"120","Armenia","ARM","Offals, Edible","fabio"
"121","Armenia","ARM","Fats, Animals, Raw","fabio"
"122","Armenia","ARM","Hides and skins","fabio"
"123","Armenia","ARM","Meat Meal","fabio"
"124","Armenia","ARM","Pet food","fabio"
"125","Armenia","ARM","Honey","fabio"
"126","Armenia","ARM","Silk","fabio"
"127","Armenia","ARM","Fish, Seafood","fabio"
"128","Armenia","ARM","Wood fuel","fabio"
"129","Armenia","ARM","Industrial roundwood, coniferous","fabio"
"130","Armenia","ARM","Industrial roundwood, non-coniferous","fabio"
"131","Afghanistan","AFG","Rice (Milled Equivalent)","fabio"
"132","Afghanistan","AFG","Wheat and products","fabio"
"133","Afghanistan","AFG","Barley and products","fabio"
"134","Afghanistan","AFG","Maize and products","fabio"
"135","Afghanistan","AFG","Rye and products","fabio"
"136","Afghanistan","AFG","Oats","fabio"
"137","Afghanistan","AFG","Millet and products","fabio"
"138","Afghanistan","AFG","Sorghum and products","fabio"
"139","Afghanistan","AFG","Cereals, Other","fabio"
"140","Afghanistan","AFG","Potatoes and products","fabio"
"141","Afghanistan","AFG","Cassava and products","fabio"
"142","Afghanistan","AFG","Sweet potatoes","fabio"
"143","Afghanistan","AFG","Roots, Other","fabio"
"144","Afghanistan","AFG","Yams","fabio"
"145","Afghanistan","AFG","Sugar cane","fabio"
"146","Afghanistan","AFG","Sugar beet","fabio"
"147","Afghanistan","AFG","Beans","fabio"
"148","Afghanistan","AFG","Peas","fabio"
"149","Afghanistan","AFG","Pulses, Other and products","fabio"
"150","Afghanistan","AFG","Nuts and products","fabio"
"151","Afghanistan","AFG","Soyabeans","fabio"
"152","Afghanistan","AFG","Groundnuts (Shelled Eq)","fabio"
"153","Afghanistan","AFG","Sunflower seed","fabio"
"154","Afghanistan","AFG","Rape and Mustardseed","fabio"
"155","Afghanistan","AFG","Seed cotton","fabio"
"156","Afghanistan","AFG","Coconuts - Incl Copra","fabio"
"157","Afghanistan","AFG","Sesame seed","fabio"
"158","Afghanistan","AFG","Oil, palm fruit","fabio"
"159","Afghanistan","AFG","Olives (including preserved)","fabio"
"160","Afghanistan","AFG","Oilcrops, Other","fabio"
"161","Afghanistan","AFG","Tomatoes and products","fabio"
"162","Afghanistan","AFG","Onions","fabio"
"163","Afghanistan","AFG","Vegetables, Other","fabio"
"164","Afghanistan","AFG","Oranges, Mandarines","fabio"
"165","Afghanistan","AFG","Lemons, Limes and products","fabio"
"166","Afghanistan","AFG","Grapefruit and products","fabio"
"167","Afghanistan","AFG","Citrus, Other","fabio"
"168","Afghanistan","AFG","Bananas","fabio"
"169","Afghanistan","AFG","Plantains","fabio"
"170","Afghanistan","AFG","Apples and products","fabio"
"171","Afghanistan","AFG","Pineapples and products","fabio"
"172","Afghanistan","AFG","Dates","fabio"
"173","Afghanistan","AFG","Grapes and products (excl wine)","fabio"
"174","Afghanistan","AFG","Fruits, Other","fabio"
"175","Afghanistan","AFG","Coffee and products","fabio"
"176","Afghanistan","AFG","Cocoa Beans and products","fabio"
"177","Afghanistan","AFG","Tea (including mate)","fabio"
"178","Afghanistan","AFG","Hops","fabio"
"179","Afghanistan","AFG","Pepper","fabio"
"180","Afghanistan","AFG","Pimento","fabio"
"181","Afghanistan","AFG","Cloves","fabio"
"182","Afghanistan","AFG","Spices, Other","fabio"
"183","Afghanistan","AFG","Jute","fabio"
"184","Afghanistan","AFG","Jute-Like Fibres","fabio"
"185","Afghanistan","AFG","Soft-Fibres, Other","fabio"
"186","Afghanistan","AFG","Sisal","fabio"
"187","Afghanistan","AFG","Abaca","fabio"
"188","Afghanistan","AFG","Hard Fibres, Other","fabio"
"189","Afghanistan","AFG","Tobacco","fabio"
"190","Afghanistan","AFG","Rubber","fabio"
"191","Afghanistan","AFG","Fodder crops","fabio"
"192","Afghanistan","AFG","Grazing","fabio"
"193","Afghanistan","AFG","Cottonseed","fabio"
"194","Afghanistan","AFG","Palm kernels","fabio"
"195","Afghanistan","AFG","Sugar non-centrifugal","fabio"
"196","Afghanistan","AFG","Molasses","fabio"
"197","Afghanistan","AFG","Sugar, Refined Equiv","fabio"
"198","Afghanistan","AFG","Sweeteners, Other","fabio"
"199","Afghanistan","AFG","Soyabean Oil","fabio"
"200","Afghanistan","AFG","Groundnut Oil","fabio"
"201","Afghanistan","AFG","Sunflowerseed Oil","fabio"
"202","Afghanistan","AFG","Rape and Mustard Oil","fabio"
"203","Afghanistan","AFG","Cottonseed Oil","fabio"
"204","Afghanistan","AFG","Palmkernel Oil","fabio"
"205","Afghanistan","AFG","Palm Oil","fabio"
"206","Afghanistan","AFG","Coconut Oil","fabio"
"207","Afghanistan","AFG","Sesameseed Oil","fabio"
"208","Afghanistan","AFG","Olive Oil","fabio"
"209","Afghanistan","AFG","Ricebran Oil","fabio"
"210","Afghanistan","AFG","Maize Germ Oil","fabio"
"211","Afghanistan","AFG","Oilcrops Oil, Other","fabio"
"212","Afghanistan","AFG","Soyabean Cake","fabio"
"213","Afghanistan","AFG","Groundnut Cake","fabio"
"214","Afghanistan","AFG","Sunflowerseed Cake","fabio"
"215","Afghanistan","AFG","Rape and Mustard Cake","fabio"
"216","Afghanistan","AFG","Cottonseed Cake","fabio"
"217","Afghanistan","AFG","Palmkernel Cake","fabio"
"218","Afghanistan","AFG","Copra Cake","fabio"
"219","Afghanistan","AFG","Sesameseed Cake","fabio"
"220","Afghanistan","AFG","Oilseed Cakes, Other","fabio"
"221","Afghanistan","AFG","Wine","fabio"
"222","Afghanistan","AFG","Beer","fabio"
"223","Afghanistan","AFG","Beverages, Fermented","fabio"
"224","Afghanistan","AFG","Beverages, Alcoholic","fabio"
"225","Afghanistan","AFG","Alcohol, Non-Food","fabio"
"226","Afghanistan","AFG","Cotton lint","fabio"
"227","Afghanistan","AFG","Cattle","fabio"
"228","Afghanistan","AFG","Buffaloes","fabio"
"229","Afghanistan","AFG","Sheep","fabio"
"230","Afghanistan","AFG","Goats","fabio"
"231","Afghanistan","AFG","Pigs","fabio"
"232","Afghanistan","AFG","Poultry Birds","fabio"
"233","Afghanistan","AFG","Horses","fabio"
"234","Afghanistan","AFG","Asses","fabio"
"235","Afghanistan","AFG","Mules","fabio"
"236","Afghanistan","AFG","Camels","fabio"
"237","Afghanistan","AFG","Camelids, other","fabio"
"238","Afghanistan","AFG","Rabbits and hares","fabio"
"239","Afghanistan","AFG","Rodents, other","fabio"
"240","Afghanistan","AFG","Live animals, other","fabio"
"241","Afghanistan","AFG","Milk - Excluding Butter","fabio"
"242","Afghanistan","AFG","Butter, Ghee","fabio"
"243","Afghanistan","AFG","Eggs","fabio"
"244","Afghanistan","AFG","Wool (Clean Eq.)","fabio"
"245","Afghanistan","AFG","Bovine Meat","fabio"
"246","Afghanistan","AFG","Mutton & Goat Meat","fabio"
"247","Afghanistan","AFG","Pigmeat","fabio"
"248","Afghanistan","AFG","Poultry Meat","fabio"
"249","Afghanistan","AFG","Meat, Other","fabio"
"250","Afghanistan","AFG","Offals, Edible","fabio"
"251","Afghanistan","AFG","Fats, Animals, Raw","fabio"
"252","Afghanistan","AFG","Hides and skins","fabio"
"253","Afghanistan","AFG","Meat Meal","fabio"
"254","Afghanistan","AFG","Pet food","fabio"
"255","Afghanistan","AFG","Honey","fabio"
"256","Afghanistan","AFG","Silk","fabio"
"257","Afghanistan","AFG","Fish, Seafood","fabio"
"258","Afghanistan","AFG","Wood fuel","fabio"
"259","Afghanistan","AFG","Industrial roundwood, coniferous","fabio"
"260","Afghanistan","AFG","Industrial roundwood, non-coniferous","fabio"
"261","Albania","ALB","Rice (Milled Equivalent)","fabio"
"262","Albania","ALB","Wheat and products","fabio"
"263","Albania","ALB","Barley and products","fabio"
"264","Albania","ALB","Maize and products","fabio"
"265","Albania","ALB","Rye and products","fabio"
"266","Albania","ALB","Oats","fabio"
"267","Albania","ALB","Millet and products","fabio"
"268","Albania","ALB","Sorghum and products","fabio"
"269","Albania","ALB","Cereals, Other","fabio"
"270","Albania","ALB","Potatoes and products","fabio"
"271","Albania","ALB","Cassava and products","fabio"
"272","Albania","ALB","Sweet potatoes","fabio"
"273","Albania","ALB","Roots, Other","fabio"
"274","Albania","ALB","Yams","fabio"
"275","Albania","ALB","Sugar cane","fabio"
"276","Albania","ALB","Sugar beet","fabio"
"277","Albania","ALB","Beans","fabio"
"278","Albania","ALB","Peas","fabio"
"279","Albania","ALB","Pulses, Other and products","fabio"
"280","Albania","ALB","Nuts and products","fabio"
"281","Albania","ALB","Soyabeans","fabio"
"282","Albania","ALB","Groundnuts (Shelled Eq)","fabio"
"283","Albania","ALB","Sunflower seed","fabio"
"284","Albania","ALB","Rape and Mustardseed","fabio"
"285","Albania","ALB","Seed cotton","fabio"
"286","Albania","ALB","Coconuts - Incl Copra","fabio"
"287","Albania","ALB","Sesame seed","fabio"
"288","Albania","ALB","Oil, palm fruit","fabio"
"289","Albania","ALB","Olives (including preserved)","fabio"
"290","Albania","ALB","Oilcrops, Other","fabio"
"291","Albania","ALB","Tomatoes and products","fabio"
"292","Albania","ALB","Onions","fabio"
"293","Albania","ALB","Vegetables, Other","fabio"
"294","Albania","ALB","Oranges, Mandarines","fabio"
"295","Albania","ALB","Lemons, Limes and products","fabio"
"296","Albania","ALB","Grapefruit and products","fabio"
"297","Albania","ALB","Citrus, Other","fabio"
"298","Albania","ALB","Bananas","fabio"
"299","Albania","ALB","Plantains","fabio"
"300","Albania","ALB","Apples and products","fabio"
"301","Albania","ALB","Pineapples and products","fabio"
"302","Albania","ALB","Dates","fabio"
"303","Albania","ALB","Grapes and products (excl wine)","fabio"
"304","Albania","ALB","Fruits, Other","fabio"
"305","Albania","ALB","Coffee and products","fabio"
"306","Albania","ALB","Cocoa Beans and products","fabio"
"307","Albania","ALB","Tea (including mate)","fabio"
"308","Albania","ALB","Hops","fabio"
"309","Albania","ALB","Pepper","fabio"
"310","Albania","ALB","Pimento","fabio"
"311","Albania","ALB","Cloves","fabio"
"312","Albania","ALB","Spices, Other","fabio"
"313","Albania","ALB","Jute","fabio"
"314","Albania","ALB","Jute-Like Fibres","fabio"
"315","Albania","ALB","Soft-Fibres, Other","fabio"
"316","Albania","ALB","Sisal","fabio"
"317","Albania","ALB","Abaca","fabio"
"318","Albania","ALB","Hard Fibres, Other","fabio"
"319","Albania","ALB","Tobacco","fabio"
"320","Albania","ALB","Rubber","fabio"
"321","Albania","ALB","Fodder crops","fabio"
"322","Albania","ALB","Grazing","fabio"
"323","Albania","ALB","Cottonseed","fabio"
"324","Albania","ALB","Palm kernels","fabio"
"325","Albania","ALB","Sugar non-centrifugal","fabio"
"326","Albania","ALB","Molasses","fabio"
"327","Albania","ALB","Sugar, Refined Equiv","fabio"
"328","Albania","ALB","Sweeteners, Other","fabio"
"329","Albania","ALB","Soyabean Oil","fabio"
"330","Albania","ALB","Groundnut Oil","fabio"
"331","Albania","ALB","Sunflowerseed Oil","fabio"
"332","Albania","ALB","Rape and Mustard Oil","fabio"
"333","Albania","ALB","Cottonseed Oil","fabio"
"334","Albania","ALB","Palmkernel Oil","fabio"
"335","Albania","ALB","Palm Oil","fabio"
"336","Albania","ALB","Coconut Oil","fabio"
"337","Albania","ALB","Sesameseed Oil","fabio"
"338","Albania","ALB","Olive Oil","fabio"
"339","Albania","ALB","Ricebran Oil","fabio"
"340","Albania","ALB","Maize Germ Oil","fabio"
"341","Albania","ALB","Oilcrops Oil, Other","fabio"
"342","Albania","ALB","Soyabean Cake","fabio"
"343","Albania","ALB","Groundnut Cake","fabio"
"344","Albania","ALB","Sunflowerseed Cake","fabio"
"345","Albania","ALB","Rape and Mustard Cake","fabio"
"346","Albania","ALB","Cottonseed Cake","fabio"
"347","Albania","ALB","Palmkernel Cake","fabio"
"348","Albania","ALB","Copra Cake","fabio"
"349","Albania","ALB","Sesameseed Cake","fabio"
"350","Albania","ALB","Oilseed Cakes, Other","fabio"
"351","Albania","ALB","Wine","fabio"
"352","Albania","ALB","Beer","fabio"
"353","Albania","ALB","Beverages, Fermented","fabio"
"354","Albania","ALB","Beverages, Alcoholic","fabio"
"355","Albania","ALB","Alcohol, Non-Food","fabio"
"356","Albania","ALB","Cotton lint","fabio"
"357","Albania","ALB","Cattle","fabio"
"358","Albania","ALB","Buffaloes","fabio"
"359","Albania","ALB","Sheep","fabio"
"360","Albania","ALB","Goats","fabio"
"361","Albania","ALB","Pigs","fabio"
"362","Albania","ALB","Poultry Birds","fabio"
"363","Albania","ALB","Horses","fabio"
"364","Albania","ALB","Asses","fabio"
"365","Albania","ALB","Mules","fabio"
"366","Albania","ALB","Camels","fabio"
"367","Albania","ALB","Camelids, other","fabio"
"368","Albania","ALB","Rabbits and hares","fabio"
"369","Albania","ALB","Rodents, other","fabio"
"370","Albania","ALB","Live animals, other","fabio"
"371","Albania","ALB","Milk - Excluding Butter","fabio"
"372","Albania","ALB","Butter, Ghee","fabio"
"373","Albania","ALB","Eggs","fabio"
"374","Albania","ALB","Wool (Clean Eq.)","fabio"
"375","Albania","ALB","Bovine Meat","fabio"
"376","Albania","ALB","Mutton & Goat Meat","fabio"
"377","Albania","ALB","Pigmeat","fabio"
"378","Albania","ALB","Poultry Meat","fabio"
"379","Albania","ALB","Meat, Other","fabio"
"380","Albania","ALB","Offals, Edible","fabio"
"381","Albania","ALB","Fats, Animals, Raw","fabio"
"382","Albania","ALB","Hides and skins","fabio"
"383","Albania","ALB","Meat Meal","fabio"
"384","Albania","ALB","Pet food","fabio"
"385","Albania","ALB","Honey","fabio"
"386","Albania","ALB","Silk","fabio"
"387","Albania","ALB","Fish, Seafood","fabio"
"388","Albania","ALB","Wood fuel","fabio"
"389","Albania","ALB","Industrial roundwood, coniferous","fabio"
"390","Albania","ALB","Industrial roundwood, non-coniferous","fabio"
"391","Algeria","DZA","Rice (Milled Equivalent)","fabio"
"392","Algeria","DZA","Wheat and products","fabio"
"393","Algeria","DZA","Barley and products","fabio"
"394","Algeria","DZA","Maize and products","fabio"
"395","Algeria","DZA","Rye and products","fabio"
"396","Algeria","DZA","Oats","fabio"
"397","Algeria","DZA","Millet and products","fabio"
"398","Algeria","DZA","Sorghum and products","fabio"
"399","Algeria","DZA","Cereals, Other","fabio"
"400","Algeria","DZA","Potatoes and products","fabio"
"401","Algeria","DZA","Cassava and products","fabio"
"402","Algeria","DZA","Sweet potatoes","fabio"
"403","Algeria","DZA","Roots, Other","fabio"
"404","Algeria","DZA","Yams","fabio"
"405","Algeria","DZA","Sugar cane","fabio"
"406","Algeria","DZA","Sugar beet","fabio"
"407","Algeria","DZA","Beans","fabio"
"408","Algeria","DZA","Peas","fabio"
"409","Algeria","DZA","Pulses, Other and products","fabio"
"410","Algeria","DZA","Nuts and products","fabio"
"411","Algeria","DZA","Soyabeans","fabio"
"412","Algeria","DZA","Groundnuts (Shelled Eq)","fabio"
"413","Algeria","DZA","Sunflower seed","fabio"
"414","Algeria","DZA","Rape and Mustardseed","fabio"
"415","Algeria","DZA","Seed cotton","fabio"
"416","Algeria","DZA","Coconuts - Incl Copra","fabio"
"417","Algeria","DZA","Sesame seed","fabio"
"418","Algeria","DZA","Oil, palm fruit","fabio"
"419","Algeria","DZA","Olives (including preserved)","fabio"
"420","Algeria","DZA","Oilcrops, Other","fabio"
"421","Algeria","DZA","Tomatoes and products","fabio"
"422","Algeria","DZA","Onions","fabio"
"423","Algeria","DZA","Vegetables, Other","fabio"
"424","Algeria","DZA","Oranges, Mandarines","fabio"
"425","Algeria","DZA","Lemons, Limes and products","fabio"
"426","Algeria","DZA","Grapefruit and products","fabio"
"427","Algeria","DZA","Citrus, Other","fabio"
"428","Algeria","DZA","Bananas","fabio"
"429","Algeria","DZA","Plantains","fabio"
"430","Algeria","DZA","Apples and products","fabio"
"431","Algeria","DZA","Pineapples and products","fabio"
"432","Algeria","DZA","Dates","fabio"
"433","Algeria","DZA","Grapes and products (excl wine)","fabio"
"434","Algeria","DZA","Fruits, Other","fabio"
"435","Algeria","DZA","Coffee and products","fabio"
"436","Algeria","DZA","Cocoa Beans and products","fabio"
"437","Algeria","DZA","Tea (including mate)","fabio"
"438","Algeria","DZA","Hops","fabio"
"439","Algeria","DZA","Pepper","fabio"
"440","Algeria","DZA","Pimento","fabio"
"441","Algeria","DZA","Cloves","fabio"
"442","Algeria","DZA","Spices, Other","fabio"
"443","Algeria","DZA","Jute","fabio"
"444","Algeria","DZA","Jute-Like Fibres","fabio"
"445","Algeria","DZA","Soft-Fibres, Other","fabio"
"446","Algeria","DZA","Sisal","fabio"
"447","Algeria","DZA","Abaca","fabio"
"448","Algeria","DZA","Hard Fibres, Other","fabio"
"449","Algeria","DZA","Tobacco","fabio"
"450","Algeria","DZA","Rubber","fabio"
"451","Algeria","DZA","Fodder crops","fabio"
"452","Algeria","DZA","Grazing","fabio"
"453","Algeria","DZA","Cottonseed","fabio"
"454","Algeria","DZA","Palm kernels","fabio"
"455","Algeria","DZA","Sugar non-centrifugal","fabio"
"456","Algeria","DZA","Molasses","fabio"
"457","Algeria","DZA","Sugar, Refined Equiv","fabio"
"458","Algeria","DZA","Sweeteners, Other","fabio"
"459","Algeria","DZA","Soyabean Oil","fabio"
"460","Algeria","DZA","Groundnut Oil","fabio"
"461","Algeria","DZA","Sunflowerseed Oil","fabio"
"462","Algeria","DZA","Rape and Mustard Oil","fabio"
"463","Algeria","DZA","Cottonseed Oil","fabio"
"464","Algeria","DZA","Palmkernel Oil","fabio"
"465","Algeria","DZA","Palm Oil","fabio"
"466","Algeria","DZA","Coconut Oil","fabio"
"467","Algeria","DZA","Sesameseed Oil","fabio"
"468","Algeria","DZA","Olive Oil","fabio"
"469","Algeria","DZA","Ricebran Oil","fabio"
"470","Algeria","DZA","Maize Germ Oil","fabio"
"471","Algeria","DZA","Oilcrops Oil, Other","fabio"
"472","Algeria","DZA","Soyabean Cake","fabio"
"473","Algeria","DZA","Groundnut Cake","fabio"
"474","Algeria","DZA","Sunflowerseed Cake","fabio"
"475","Algeria","DZA","Rape and Mustard Cake","fabio"
"476","Algeria","DZA","Cottonseed Cake","fabio"
"477","Algeria","DZA","Palmkernel Cake","fabio"
"478","Algeria","DZA","Copra Cake","fabio"
"479","Algeria","DZA","Sesameseed Cake","fabio"
"480","Algeria","DZA","Oilseed Cakes, Other","fabio"
"481","Algeria","DZA","Wine","fabio"
"482","Algeria","DZA","Beer","fabio"
"483","Algeria","DZA","Beverages, Fermented","fabio"
"484","Algeria","DZA","Beverages, Alcoholic","fabio"
"485","Algeria","DZA","Alcohol, Non-Food","fabio"
"486","Algeria","DZA","Cotton lint","fabio"
"487","Algeria","DZA","Cattle","fabio"
"488","Algeria","DZA","Buffaloes","fabio"
"489","Algeria","DZA","Sheep","fabio"
"490","Algeria","DZA","Goats","fabio"
"491","Algeria","DZA","Pigs","fabio"
"492","Algeria","DZA","Poultry Birds","fabio"
"493","Algeria","DZA","Horses","fabio"
"494","Algeria","DZA","Asses","fabio"
"495","Algeria","DZA","Mules","fabio"
"496","Algeria","DZA","Camels","fabio"
"497","Algeria","DZA","Camelids, other","fabio"
"498","Algeria","DZA","Rabbits and hares","fabio"
"499","Algeria","DZA","Rodents, other","fabio"
"500","Algeria","DZA","Live animals, other","fabio"
"501","Algeria","DZA","Milk - Excluding Butter","fabio"
"502","Algeria","DZA","Butter, Ghee","fabio"
"503","Algeria","DZA","Eggs","fabio"
"504","Algeria","DZA","Wool (Clean Eq.)","fabio"
"505","Algeria","DZA","Bovine Meat","fabio"
"506","Algeria","DZA","Mutton & Goat Meat","fabio"
"507","Algeria","DZA","Pigmeat","fabio"
"508","Algeria","DZA","Poultry Meat","fabio"
"509","Algeria","DZA","Meat, Other","fabio"
"510","Algeria","DZA","Offals, Edible","fabio"
"511","Algeria","DZA","Fats, Animals, Raw","fabio"
"512","Algeria","DZA","Hides and skins","fabio"
"513","Algeria","DZA","Meat Meal","fabio"
"514","Algeria","DZA","Pet food","fabio"
"515","Algeria","DZA","Honey","fabio"
"516","Algeria","DZA","Silk","fabio"
"517","Algeria","DZA","Fish, Seafood","fabio"
"518","Algeria","DZA","Wood fuel","fabio"
"519","Algeria","DZA","Industrial roundwood, coniferous","fabio"
"520","Algeria","DZA","Industrial roundwood, non-coniferous","fabio"
"521","Angola","AGO","Rice (Milled Equivalent)","fabio"
"522","Angola","AGO","Wheat and products","fabio"
"523","Angola","AGO","Barley and products","fabio"
"524","Angola","AGO","Maize and products","fabio"
"525","Angola","AGO","Rye and products","fabio"
"526","Angola","AGO","Oats","fabio"
"527","Angola","AGO","Millet and products","fabio"
"528","Angola","AGO","Sorghum and products","fabio"
"529","Angola","AGO","Cereals, Other","fabio"
"530","Angola","AGO","Potatoes and products","fabio"
"531","Angola","AGO","Cassava and products","fabio"
"532","Angola","AGO","Sweet potatoes","fabio"
"533","Angola","AGO","Roots, Other","fabio"
"534","Angola","AGO","Yams","fabio"
"535","Angola","AGO","Sugar cane","fabio"
"536","Angola","AGO","Sugar beet","fabio"
"537","Angola","AGO","Beans","fabio"
"538","Angola","AGO","Peas","fabio"
"539","Angola","AGO","Pulses, Other and products","fabio"
"540","Angola","AGO","Nuts and products","fabio"
"541","Angola","AGO","Soyabeans","fabio"
"542","Angola","AGO","Groundnuts (Shelled Eq)","fabio"
"543","Angola","AGO","Sunflower seed","fabio"
"544","Angola","AGO","Rape and Mustardseed","fabio"
"545","Angola","AGO","Seed cotton","fabio"
"546","Angola","AGO","Coconuts - Incl Copra","fabio"
"547","Angola","AGO","Sesame seed","fabio"
"548","Angola","AGO","Oil, palm fruit","fabio"
"549","Angola","AGO","Olives (including preserved)","fabio"
"550","Angola","AGO","Oilcrops, Other","fabio"
"551","Angola","AGO","Tomatoes and products","fabio"
"552","Angola","AGO","Onions","fabio"
"553","Angola","AGO","Vegetables, Other","fabio"
"554","Angola","AGO","Oranges, Mandarines","fabio"
